Unique Id,Project Name,Project Address,System,Area,Project Number,Drawn By,Issued Date,Company,itm CID,Fitting Type,Service Type,Service,FAB Service Abbrv,Description (1),Description (2),Schedule/Rating,Alias,Manufacturer,Material Group,Material Data,Material Abbreviation,Size (inch),Size (dec),Inlet Diameter,Size Outlets,Size Branches,RFA Size,RFA Size (max),RFA Size (max dec),Length (ft),Length (dec ft),Quantity,Manufacturer Order Number,RFA Model Number,Spool Name,Spool Name (PiM),Entity Status,Shop Order Number,Item Number,Mark,Weight,Level,Category,Sub Type,Bernhard LB ID,JD Edwards ID,Hanger Diameter,Rod Diameter,Rod Diameter (dec),Rod Inset Depth,Rod Length,Rod Length (dec),Conn Type #1,Conn Type #2,Conn Type #3,Conn Type #4,Conn Type #5,Conn Type #6,Conn Type #7,Conn Type #8
237666ae-b89d-4571-bf0d-ccb06c53c266-0029890f,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"14' - 4 1/2""",14.3753,1,,,PLC-CD-06,PLC-CD-06,Spooled,12981,1,,11.63,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
237666ae-b89d-4571-bf0d-ccb06c53c266-00298915,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"7' - 0 3/8""",7.0324,1,,,PLC-CD-02,PLC-CD-02,Spooled,12981,1,,5.69,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
237666ae-b89d-4571-bf0d-ccb06c53c266-0029891b,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"11' - 11 5/8""",11.9661,1,,,PLD-CD-02,PLD-CD-02,Spooled,12981,1,,9.68,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
237666ae-b89d-4571-bf0d-ccb06c53c266-0029891e,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"5' - 8 3/8""",5.7019,1,,,PLD-CD-03,PLD-CD-03,Spooled,12981,1,,4.61,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
237666ae-b89d-4571-bf0d-ccb06c53c266-00298924,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"9' - 11 3/8""",9.9515,1,,,PLC-CD-08,PLC-CD-08,Spooled,12981,1,,8.05,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
237666ae-b89d-4571-bf0d-ccb06c53c266-0029892d,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"10' - 7 1/8""",10.5947,1,,,PLC-CD-07,PLC-CD-07,Spooled,12981,1,,8.57,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
237666ae-b89d-4571-bf0d-ccb06c53c266-00298b1a,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2523,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,907 DWV 90 Elbow C x C - Wrot,DWV,90,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLD-CD-03,PLD-CD-03,Spooled,12981,2,,0.32,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000051-0002,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,,
acd491e1-b885-4972-b735-049e7ea592d7-002d5391,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2523,Fitting,Pipework,AGM: Condensate Drain (CD),CD,,606 45 Elbow C x C - Wrot,Wrot,45,Nibco,BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",0.75,,,,,,,1,,,PLA-CD-10,PLA-CD-10,Spooled,12981,3,,0.1,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000066-0006,,,,,,,,Nibco Copper Cup,Nibco Copper Cup,,,,,,
7d930897-721f-4ac6-99a2-c4061f4caacf-002e4fcb,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2900,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,911 DWV Tee C x C x C - Wrot,DWV,T,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,"1 1/2""",,,,,,1,,,PLC-CD-07,PLC-CD-07,Spooled,12981,2,,0.49,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000054-0002,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,
7d930897-721f-4ac6-99a2-c4061f4caacf-002e50b9,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2900,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,911 DWV Tee C x C x C - Wrot,DWV,T,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,"1 1/2""",,,,,,1,,,PLC-CD-02,PLC-CD-02,Spooled,12981,4,,0.49,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000054-0002,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,
7d930897-721f-4ac6-99a2-c4061f4caacf-002e50bc,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"3' - 2 5/8""",3.2195,1,,,PLC-CD-02,PLC-CD-02,Spooled,12981,2,,2.6,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
e8a53a3a-6131-4f99-ad98-2299de1c717f-0039d833,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2523,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,907 DWV 90 Elbow C x C - Wrot,DWV,90,Nibco,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,PLA-CD-01,PLA-CD-01,Spooled,12981,2,,0.18,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000051-0001,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,,
dbd99e9a-ef70-4eb2-a4c4-46c949251837-003a5963,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"3' - 5""",3.4117,1,,,PLC-CD-01,PLC-CD-01,Spooled,12981,1,,2.76,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
dbd99e9a-ef70-4eb2-a4c4-46c949251837-003a5d5b,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2523,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,906 DWV 45 Elbow C x C - Wrot,DWV,45,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-01,PLC-CD-01,Spooled,12981,3,,0.21,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000049-0002,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,,
dbd99e9a-ef70-4eb2-a4c4-46c949251837-003a5dce,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Pipework,AGM: Condensate Drain (CD),CD,,Pipe - B88 Copper Type M,Type M,,(Generic),BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"2' - 8 1/2""",2.7052,1,,,PLC-CD-01,PLC-CD-01,Spooled,12981,2,,2.54,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_GEN_000402-0006,,,,,,,,Generic Copper Plain End (Pipe),Generic Copper Plain End (Pipe),,,,,,
dbd99e9a-ef70-4eb2-a4c4-46c949251837-003a5de6,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2523,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,906 DWV 45 Elbow C x C - Wrot,DWV,45,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-01,PLC-CD-01,Spooled,12981,3,,0.21,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000049-0002,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,,
65aed96e-d8a7-4ccf-98fd-fbdea0cdd39b-003a60c3,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Pipework,AGM: Condensate Drain (CD),CD,,Pipe - B88 Copper Type M,Type M,,(Generic),BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"0' - 2 5/8""",0.2213,1,,,PLC-CD-02,PLC-CD-02,Spooled,12981,3,,0.21,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_GEN_000402-0006,,,,,,,,Generic Copper Plain End (Pipe),Generic Copper Plain End (Pipe),,,,,,
65aed96e-d8a7-4ccf-98fd-fbdea0cdd39b-003a60da,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2523,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,906 DWV 45 Elbow C x C - Wrot,DWV,45,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-02,PLC-CD-02,Spooled,12981,5,,0.21,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000049-0002,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,,
0f74580a-526d-4be2-bbf1-94bf81eea1c4-003e17ef,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"2' - 4 1/4""",2.3551,1,,,PLD-CD-05,PLD-CD-05,Spooled,12981,1,,1.91,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
0f74580a-526d-4be2-bbf1-94bf81eea1c4-003e18eb,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2523,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,907 DWV 90 Elbow C x C - Wrot,DWV,90,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLD-CD-04,PLD-CD-04,Spooled,12981,2,,0.32,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000051-0002,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,,
0f74580a-526d-4be2-bbf1-94bf81eea1c4-003e18ff,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2523,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,907 DWV 90 Elbow C x C - Wrot,DWV,90,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLD-CD-05,PLD-CD-05,Spooled,12981,2,,0.32,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000051-0002,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,,
0f74580a-526d-4be2-bbf1-94bf81eea1c4-003e1947,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"1' - 4 7/8""",1.4062,1,,,PLD-CD-04,PLD-CD-04,Spooled,12981,1,,1.14,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
0f74580a-526d-4be2-bbf1-94bf81eea1c4-003e1a7f,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"0' - 5 1/2""",0.4583,1,,,PLD-CD-02,PLD-CD-02,Spooled,12981,2,,0.37,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
0f74580a-526d-4be2-bbf1-94bf81eea1c4-003e1a95,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2523,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,907 DWV 90 Elbow C x C - Wrot,DWV,90,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLD-CD-02,PLD-CD-02,Spooled,12981,3,,0.32,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000051-0002,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,,
3ccbd990-10d8-428a-b07b-f3acca3c5d24-005790f2,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2160,Fitting,Pipework,AGM: Condensate Drain (CD),CD,,611 Tee C x C x C - Wrot,Wrot,T,Nibco,BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",0.75,"3/4""",,,,,,1,,,PLA-CD-08,PLA-CD-08,Spooled,12981,2,,0.16,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000076-0042,,,,,,,,Nibco Copper Cup,Nibco Copper Cup,Nibco Copper Cup,,,,,
3ccbd990-10d8-428a-b07b-f3acca3c5d24-00579249,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Pipework,AGM: Condensate Drain (CD),CD,,603-2 Fitting Adapter Ftg x F - Wrot,Wrot,,Nibco,BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",0.75,,,,,,,1,,,PLA-CD-08,PLA-CD-08,Spooled,12981,3,,0.13,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000063-0005,,,,,,,,Nibco Copper FPT (Hex),Nibco Copper Plain End,,,,,,
3ccbd990-10d8-428a-b07b-f3acca3c5d24-00579266,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2060,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Threaded Joint,Standard,,Joint,BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",0.75,,,,,,,1,,,PLA-CD-08,PLA-CD-08,Spooled,12981,4,,0.08,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000321-0001,,,,,,,,Nibco PVC (DWV) MPT,,,,,,,
3ccbd990-10d8-428a-b07b-f3acca3c5d24-0057926a,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Threaded Joint,Standard,,Joint,BIMrxDBS,Carbon Steel,CS,3/4,0.75,"3/4""",0.75,,,,,,,1,,,PLA-CD-08,PLA-CD-08,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000041-0005,,,,,,,,Generic Threaded Joint (C1) (Male),Generic Threaded Joint (C2) (Female),,,,,,
8ba1ce2a-f395-4c11-a8a2-e2bafdf840d3-0057bb51,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"11' - 3 1/8""",11.2641,1,,,PLD-CD-01,PLD-CD-01,Spooled,12981,1,,9.11,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
8ba1ce2a-f395-4c11-a8a2-e2bafdf840d3-0057bbfb,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2900,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,911 DWV Tee C x C x C - Wrot,DWV,T,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,"1 1/2""",,,,,,1,,,PLD-CD-01,PLD-CD-01,Spooled,12981,2,,0.49,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000054-0002,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,
8ba1ce2a-f395-4c11-a8a2-e2bafdf840d3-0057bc5b,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,816 - Cleanout w Plug C - Cast,DWV,,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLD-CD-01,PLD-CD-01,Spooled,12981,3,,0.59,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000320-0002,,,,,,,,Nibco Copper Plain End,Nibco Copper (Cast) Blank (Plug Square End),,,,,,
8ba1ce2a-f395-4c11-a8a2-e2bafdf840d3-0057c022,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2900,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,911 DWV Tee C x C x C - Wrot,DWV,T,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,"1 1/2""",,,,,,1,,,PLC-CD-06,PLC-CD-06,Spooled,12981,2,,0.49,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000054-0002,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,
